"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.071733329E-2,-2.006002963E-1,-7.493636608E-1,-7.191328704E-2
2.064733335E-2,-3.990345597E-1,-9.095951319E-1,-6.525245309E-2
3.057733329E-2,-5.313786268E-1,-9.237321019E-1,-6.275493652E-2
4.050833336E-2,-6.061112285E-1,-8.196906447E-1,-4.533253610E-2
5.043833330E-2,-6.289206147E-1,-6.352030635E-1,-2.568791062E-2
6.036833336E-2,-6.077250242E-1,-4.313495457E-1,-6.442842074E-3
7.029833330E-2,-5.576935410E-1,-3.090879321E-1,2.218863741E-2
8.022933337E-2,-5.017181635E-1,-2.882244587E-1,6.568790972E-2
9.015933331E-2,-4.506793618E-1,-3.880640566E-1,1.085817963E-1
1.000893334E-1,-4.152241647E-1,-5.507429838E-1,1.409501135E-1
1.100193333E-1,-3.944413364E-1,-7.434829473E-1,1.746275276E-1
1.199503334E-1,-4.012054801E-1,-9.138664007E-1,2.184402496E-1
1.298803333E-1,-4.412593246E-1,-1.027086139E0,2.728175521E-1
1.398103334E-1,-5.031698346E-1,-1.080347538E0,3.226599395E-1
1.497413333E-1,-5.390224457E-1,-1.045957685E0,3.543279767E-1
1.596713334E-1,-5.379547477E-1,-9.102432132E-1,3.702446222E-1
1.696013333E-1,-4.769243002E-1,-6.684493423E-1,3.576802313E-1
1.795313334E-1,-3.749737144E-1,-3.922331631E-1,3.103968799E-1
1.894623333E-1,-2.460993528E-1,-1.652710736E-1,2.310056090E-1
1.993923334E-1,-1.270768195E-1,-7.073449902E-3,1.144398376E-1
2.093223333E-1,-3.064794838E-2,6.800630689E-2,-3.970167600E-3
2.192523334E-1,2.415031940E-2,5.855794251E-2,-1.016381383E-1
2.291833333E-1,2.939912677E-2,5.763712339E-3,-1.514873803E-1
2.391133334E-1,-1.654130407E-3,-7.569625974E-2,-1.616635919E-1
2.490433333E-1,-4.974730685E-2,-1.614319682E-1,-1.488486528E-1
2.589733334E-1,-9.082124382E-2,-2.078383416E-1,-1.211192831E-1
2.689043334E-1,-1.200123131E-1,-1.943325400E-1,-7.550400496E-2
2.788343333E-1,-1.329696625E-1,-1.733324379E-1,-6.186189130E-3
2.887643334E-1,-1.302369684E-1,-1.329541802E-1,6.421466172E-2
2.986943333E-1,-1.115389168E-1,-9.251062572E-2,1.064545289E-1
3.086253334E-1,-8.778367192E-2,-6.155594438E-2,1.114957109E-1
3.185553333E-1,-6.658730656E-2,-4.088715464E-2,9.515614808E-2
3.284853334E-1,-4.599331319E-2,-1.266676746E-2,5.849626660E-2
3.384163333E-1,-4.681756347E-2,1.049261540E-2,1.539167203E-2
3.483463334E-1,-5.580740795E-2,2.315544710E-2,-1.053840667E-2
