"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.762874990E-3,-4.148772583E0,5.508844299E0,6.004613342E0
1.869487495E-2,-3.992347870E0,5.520220642E0,5.969137115E0
2.862587501E-2,-3.811823273E0,5.591023407E0,6.081104279E0
3.855687496E-2,-3.591182098E0,5.670508118E0,6.156098328E0
4.848887504E-2,-3.353177032E0,5.580844574E0,6.472989349E0
5.841987499E-2,-3.197051697E0,5.208269348E0,7.182663574E0
6.835087505E-2,-3.198099518E0,4.903054047E0,7.824977875E0
7.828287501E-2,-3.221301270E0,4.710254974E0,8.286617889E0
8.821387496E-2,-3.294798431E0,4.519850922E0,8.614585876E0
9.814587503E-2,-3.368744659E0,4.453838196E0,8.802594910E0
1.080768750E-1,-3.384162598E0,4.501588898E0,8.829838257E0
1.180078750E-1,-3.243006134E0,4.586163025E0,8.727451172E0
1.279398750E-1,-3.026406555E0,4.713697815E0,8.496032410E0
1.378708750E-1,-2.772384796E0,4.973707123E0,8.310867462E0
1.478018750E-1,-2.466121674E0,5.180427246E0,8.101602631E0
1.577338750E-1,-2.154918823E0,5.262456665E0,7.931406555E0
1.676648750E-1,-1.853296051E0,5.152734833E0,7.942184143E0
1.775958750E-1,-1.597627716E0,4.956193542E0,8.123307495E0
1.875278750E-1,-1.434017944E0,4.777914276E0,8.335416412E0
1.974588750E-1,-1.326242065E0,4.698579254E0,8.453969879E0
2.073898750E-1,-1.238524475E0,4.696633301E0,8.456215210E0
2.173218750E-1,-1.212927704E0,4.744833069E0,8.453071747E0
2.272528750E-1,-1.180295563E0,4.803960114E0,8.451574860E0
2.371848749E-1,-1.183439026E0,4.819078674E0,8.425828400E0
2.471158750E-1,-1.248703308E0,4.819527740E0,8.418643341E0
2.570468750E-1,-1.349144440E0,4.789889374E0,8.435109100E0
2.669788750E-1,-1.484313354E0,4.727768555E0,8.464298401E0
2.769098750E-1,-1.621278534E0,4.640350342E0,8.448880463E0
2.868408751E-1,-1.743424530E0,4.524341583E0,8.343798981E0
2.967728750E-1,-1.805245972E0,4.455484772E0,8.211623840E0
3.067038750E-1,-1.827699280E0,4.407734070E0,8.171956329E0
3.166348750E-1,-1.859582977E0,4.392166443E0,8.180488586E0
3.265668750E-1,-1.897603912E0,4.392615509E0,8.228089600E0
3.364978750E-1,-1.861528931E0,4.432432709E0,8.311615906E0
3.464288750E-1,-1.797611847E0,4.460424500E0,8.369695129E0
3.563608750E-1,-1.719923401E0,4.431833954E0,8.422535248E0
3.662918750E-1,-1.655257874E0,4.389022980E0,8.505911865E0
3.762238750E-1,-1.641037445E0,4.350253601E0,8.569978638E0
3.861548750E-1,-1.603315887E0,4.339026947E0,8.558153229E0
3.960858750E-1,-1.635648651E0,4.329746246E0,8.512797546E0
4.060178749E-1,-1.694176941E0,4.304149475E0,8.605754242E0
4.159488750E-1,-1.618284760E0,4.241579590E0,8.716673584E0
4.258798750E-1,-1.484313354E0,4.149071960E0,8.808881836E0
4.358118750E-1,-1.351988525E0,4.115541687E0,8.898545380E0
4.457428750E-1,-1.199605408E0,4.126019897E0,8.973689117E0
4.556738749E-1,-1.082997894E0,4.086053009E0,9.042096863E0
4.656058750E-1,-1.021475830E0,4.029320984E0,9.076525269E0
4.755368750E-1,-1.094972992E0,3.910019073E0,9.052724762E0
4.854678750E-1,-1.219214630E0,3.853736115E0,9.063652039E0
4.954000000E-1,-1.289119263E0,3.882027283E0,9.116641846E0
5.053310000E-1,-1.368603973E0,3.880680084E0,9.182654572E0
5.152630000E-1,-1.392703857E0,3.837869110E0,9.184450836E0
5.251940000E-1,-1.355131989E0,3.795806580E0,9.168733521E0
5.351249999E-1,-1.283880157E0,3.833228760E0,9.181756439E0
5.450570000E-1,-1.181193695E0,3.842210083E0,9.207353210E0
5.549880000E-1,-1.063238983E0,3.796405334E0,9.222022705E0
5.649190000E-1,-9.936337280E-1,3.751049652E0,9.178163910E0
5.748510000E-1,-9.749226379E-1,3.717968445E0,9.105864258E0
5.847820000E-1,-9.886940002E-1,3.730242920E0,9.083111572E0
5.947130000E-1,-1.027164001E0,3.747307434E0,9.057065735E0
6.046450000E-1,-1.027613068E0,3.760779419E0,9.017098846E0
6.145760000E-1,-1.031055908E0,3.744762726E0,8.992699585E0
