"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-5.853333278E-4,-3.570824432E0,4.940176849E0,6.830446014E0
9.345666622E-3,-3.472179565E0,4.861141205E0,6.286926270E0
1.927766670E-2,-3.561843109E0,4.859794006E0,6.130351868E0
2.920866664E-2,-3.754342804E0,4.744234314E0,6.324947205E0
3.914066672E-2,-4.022285614E0,4.621938629E0,6.725214844E0
4.907166667E-2,-4.249363403E0,4.590354309E0,7.090605011E0
5.900266662E-2,-4.208199005E0,4.550237732E0,7.297774200E0
6.893466669E-2,-3.729644165E0,4.369563446E0,7.356452179E0
7.886566664E-2,-3.171754303E0,4.182153168E0,7.452702026E0
8.879766671E-2,-2.558778992E0,4.136198730E0,7.563621368E0
9.872866666E-2,-2.203717346E0,4.233646088E0,7.832761688E0
1.086606666E-1,-1.941911774E0,4.403692474E0,8.346493378E0
1.185916667E-1,-1.513203278E0,4.388573914E0,8.609346771E0
1.285236666E-1,-1.153800659E0,4.223616943E0,8.768316193E0
1.384546667E-1,-8.662486267E-1,4.080664215E0,8.959768066E0
1.483856667E-1,-7.695497131E-1,3.975133667E0,9.274563446E0
1.583176666E-1,-7.806266785E-1,3.854933624E0,9.616302795E0
1.682486667E-1,-7.096742249E-1,3.713627472E0,9.921967163E0
1.781806666E-1,-6.137237549E-1,3.672912140E0,1.014904495E1
1.881116667E-1,-4.469705200E-1,3.541784821E0,1.031130753E1
1.980436667E-1,-1.972897339E-1,3.186723175E0,1.022433838E1
2.079746666E-1,7.484436035E-3,2.903961182E0,1.003827530E1
2.179056667E-1,5.239105225E-2,2.858006744E0,9.949210510E0
2.278376666E-1,-1.007405090E-1,2.958298187E0,9.926757202E0
2.377686667E-1,-2.671943665E-1,3.064577179E0,9.820478210E0
2.477006667E-1,-3.553610229E-1,3.126548309E0,9.684560852E0
2.576316666E-1,-4.472698975E-1,3.201392670E0,9.613159332E0
2.675636667E-1,-6.093827820E-1,3.291654968E0,9.551188202E0
2.774946666E-1,-7.223977661E-1,3.514691162E0,9.535770264E0
2.874256667E-1,-6.532415771E-1,3.528013458E0,9.477691040E0
2.973576667E-1,-2.794688416E-1,3.003055115E0,9.082063751E0
3.072886666E-1,-1.751358032E-2,2.344424744E0,8.785979462E0
3.172206667E-1,1.463955688E-1,2.002984772E0,8.816815338E0
3.271516666E-1,2.848576355E-1,1.979483643E0,8.921597443E0
3.370836667E-1,2.559677124E-1,2.137255554E0,9.125922546E0
3.470146667E-1,1.040336609E-1,2.405497742E0,9.487570496E0
3.569466666E-1,-1.137634277E-2,2.620899811E0,9.937235413E0
3.668776667E-1,-1.437011719E-2,2.706821136E0,1.033136581E1
3.768086666E-1,1.571731567E-1,2.853216705E0,1.061502594E1
3.867406667E-1,4.064048767E-1,2.840343475E0,1.042117905E1
3.966716666E-1,5.080435181E-1,2.435435486E0,9.716294861E0
4.066036667E-1,6.077362061E-1,1.927242279E0,9.110354919E0
